"Id","Expected"
"VLOG100_Agr",4.75107919426585
"VLOG100_Cons",4.348037728177
"VLOG100_Emot",4.83767993136032
"VLOG100_Extr",3.04589335453317
"VLOG100_Open",3.78400008496601
"VLOG113_Agr",5.39007000994062
"VLOG113_Cons",4.72673987999981
"VLOG113_Emot",5.13381087897711
"VLOG113_Extr",4.34746301595863
"VLOG113_Open",4.34026695383986
"VLOG117_Agr",3.90095702285715
"VLOG117_Cons",4.11052398767174
"VLOG117_Emot",4.40902622510545
"VLOG117_Extr",5.62339591446514
"VLOG117_Open",4.8142505735661
"VLOG118_Agr",4.0880718222027
"VLOG118_Cons",4.74835587949281
"VLOG118_Emot",5.16725370553475
"VLOG118_Extr",5.34497989664715
"VLOG118_Open",4.91824070193338
"VLOG119_Agr",5.77710886419767
"VLOG119_Cons",4.65082399943677
"VLOG119_Emot",4.84798950811119
"VLOG119_Extr",3.75428656431278
"VLOG119_Open",4.01223990072935
"VLOG123_Agr",4.79170801508901
"VLOG123_Cons",5.2167305245534
"VLOG123_Emot",5.44160389681875
"VLOG123_Extr",5.22250270009023
"VLOG123_Open",5.03592865756671
"VLOG125_Agr",4.20397892748342
"VLOG125_Cons",4.21534015349388
"VLOG125_Emot",4.44836178156926
"VLOG125_Extr",4.50126530459288
"VLOG125_Open",4.47189616546287
"VLOG137_Agr",5.26504147722838
"VLOG137_Cons",4.70045638060749
"VLOG137_Emot",5.04604543686934
"VLOG137_Extr",4.08792651041774
"VLOG137_Open",4.42904186412679
"VLOG143_Agr",3.89232743734291
"VLOG143_Cons",4.72484799002306
"VLOG143_Emot",4.88749749528501
"VLOG143_Extr",4.82586419503778
"VLOG143_Open",4.5856895009165
"VLOG15_Agr",4.32628146341131
"VLOG15_Cons",4.72114248807744
"VLOG15_Emot",4.47460627835975
"VLOG15_Extr",3.67982050039137
"VLOG15_Open",4.1254096477673
"VLOG151_Agr",4.8169793283433
"VLOG151_Cons",4.98807673601425
"VLOG151_Emot",5.32683218816046
"VLOG151_Extr",4.56048311441465
"VLOG151_Open",5.01872701640426
"VLOG156_Agr",5.52819040714084
"VLOG156_Cons",5.24853334934253
"VLOG156_Emot",5.06772619264926
"VLOG156_Extr",4.1006505904129
"VLOG156_Open",4.88340415271766
"VLOG161_Agr",4.6204893850797
"VLOG161_Cons",4.26073076439591
"VLOG161_Emot",5.22446089836479
"VLOG161_Extr",4.79242061572515
"VLOG161_Open",4.62667869276844
"VLOG164_Agr",5.13550625446646
"VLOG164_Cons",4.90087101906208
"VLOG164_Emot",5.11958422530217
"VLOG164_Extr",3.47968468688242
"VLOG164_Open",4.25446700288598
"VLOG166_Agr",4.68067960909152
"VLOG166_Cons",4.63319499642103
"VLOG166_Emot",4.76298978058328
"VLOG166_Extr",4.44273768927194
"VLOG166_Open",4.85891614170888
"VLOG18_Agr",4.63919079712698
"VLOG18_Cons",4.63861659449951
"VLOG18_Emot",4.89355242586253
"VLOG18_Extr",5.96555051518103
"VLOG18_Open",5.19883052277792
"VLOG183_Agr",4.35350484572202
"VLOG183_Cons",3.84250181426363
"VLOG183_Emot",4.64035200403431
"VLOG183_Extr",4.80695291261278
"VLOG183_Open",4.46969447111888
"VLOG191_Agr",4.79002145587622
"VLOG191_Cons",4.84843893186435
"VLOG191_Emot",5.13087981822395
"VLOG191_Extr",4.59113666241239
"VLOG191_Open",5.23253385895795
"VLOG192_Agr",4.89967189936227
"VLOG192_Cons",4.26354941361752
"VLOG192_Emot",4.89395440861766
"VLOG192_Extr",5.54988624449492
"VLOG192_Open",5.3979799683739
"VLOG197_Agr",4.88875968804244
"VLOG197_Cons",4.74711525906841
"VLOG197_Emot",5.08823559960849
"VLOG197_Extr",5.55301257871976
"VLOG197_Open",5.09240804008061
"VLOG201_Agr",4.36299126621074
"VLOG201_Cons",4.18710232184866
"VLOG201_Emot",4.47545354169121
"VLOG201_Extr",4.11808711200044
"VLOG201_Open",4.06803847731352
"VLOG205_Agr",4.49475076476199
"VLOG205_Cons",4.86000906619505
"VLOG205_Emot",4.32801437184206
"VLOG205_Extr",3.72206025427614
"VLOG205_Open",3.93690271789253
"VLOG207_Agr",4.20475700389777
"VLOG207_Cons",5.74696918089115
"VLOG207_Emot",4.72504201128685
"VLOG207_Extr",3.49553608233742
"VLOG207_Open",4.80103237701405
"VLOG216_Agr",3.76095654052934
"VLOG216_Cons",3.69259962172255
"VLOG216_Emot",4.10809552281467
"VLOG216_Extr",5.95940664044975
"VLOG216_Open",4.84536824338772
"VLOG22_Agr",5.83926862762297
